Forza 7 Ultimate, $99.99, 2017-10-03, http://amzn.to/2yUG3Bh, XBox One and Windows 10
Culdcept Revolt: Limited Edition, $51.35, 2017-10-03, http://amzn.to/2yAGDEo, 3DS
Stardew Valley, $14.99, 2017-10-05,,Switch
Golf Story, $14.99, 2017-10-05,,Switch
Mario & Luigi Superstar Saga + Bowser's Minions, $34.23, 2017-10-06, http://amzn.to/2weL1XX, 3DS
Mario & Luigi RPG1 DX (J), $45.27, 2017-10-08, , 3DS
Retro City Rampage DX Limited Edition, $56.14, 2017-10-09, ,Switch
Etrian Odyssey V JP, $44.98, 2017-10-10, , 3DS
Etrian Odyssey V, $34.23, 2017-10-17, http://amzn.to/2ht1IIP, 3DS
Fire Emblem Warriors Special Edition, $68.47, 2017-10-20, http://amzn.to/2fj9OmO, Switch
Super Famicom Mini, $97.62, 2017-10-26, ,
Super Mario Odyssey, $51.35, 2017-10-27, http://amzn.to/2xywqtl, Switch
